felling_period;felling_toponymy_source;felling_toponymy_MTN25;latitude;longitude;province;municipality;landownership;landowner_name;tree_species;tree_quantity
1748-1749;Tocina;Tocina;;;Sevilla;Tocina;ecclesiastic;Orden de Malta;holm oak;160.0
1748-1750;Dehesa de Céspedes y Molinos;undefined;;;Sevilla;Carrión de los Céspedes;noble estate;Marqués de Villa Franca;holm oak;66.0
1748-1751;Almonte;Almonte;;;Huelva;Almonte;private;Diego José de Vargas;pine;192.0
1748-1751;Almonte;Almonte;;;Huelva;Almonte;private;Juan Jurado;pine;197.0
1748-1751;Bollullos;Bollullos;;;Huelva;Bollullos Par del Condado;ecclesiastic;Convento de San Juan Bautista de la Morañina, Hermandad de Nuestra Señora de Gracia;pine;69.0
1748-1751;Almonte;Almonte;;;Huelva;Almonte;private;Manuel Ortiz;pine;5.0
1748-1751;Villalba;Villalba del Alcor ;;;Huelva;Villalba del Alcor;private;Manuel Ortiz;pine;5.0
1748-1751;Chucena;Chucena;;;Huelva;Chucena;private;Cristóbal de Aranda, Juan de Medina, Domingos Valeras, José de Solís;pine;95.0
1748-1751;Hinojos;Hinojos;;;Huelva;Hinojos;comunal;Hinojos;pine;211.0
1748-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private, comunal;Alonso Pérez Mota, Francisco José Vayas, Fernando Vayas Mota;pine;31.0
1748-1751;Benacazón;Benacazón;;;Sevilla;Benacazón;noble estate;Conde de Torrejón;pine;346.0
1748-1751;Umbrete;Umbrete;;;Sevilla;Umbrete;private;Francisco Bolaños;pine;8.0
1749;Dehesa de Remuñana;Dehesa de Romuñana;37.29350437;-6.545288959;Huelva;Bollullos Par del Condado;noble estate;Duque de Medina Sidonia;holm oak;188.0
1749;Dehesa de Aljobar;Casa de Aljóbar;37.26813159;-6.234787288;Sevilla;Aznalcázar;noble estate;Conde-Duque de Olivares;holm oak;13.0
1749;Dehesa de Benacazón;La Dehesilla;37.35186627;-6.213768561;Sevilla;Benacazón;noble estate;Conde de Torrejón;holm oak;29.0
1749;Dehesa de Torres;Las Torres;37.35224153;-6.239882548;Sevilla;Benacazón;assistance institution;Misericordia de Sevilla;holm oak;53.0
1749;Dehesa de Espechilla;Dehesa de Espechilla;37.32809507;-6.333664706;Sevilla;Huévar;ecclesiastic;Catedral de Sevilla;holm oak;50.0
1749;Dehesa de Lerena;Dehesa de Lerena;37.34130743;-6.341364825;Sevilla;Huévar;noble estate;Marqués de La Fuente;holm oak;25.0
1749;Dehesa de Robaina;Cerro de Robaina;37.33060686;-6.287491349;Sevilla;Pilas;ecclesiastic;Orden de Malta;holm oak;60.0
1749;Dehesa de Santillán;Santillán;37.31953845;-6.33393354;Sevilla;Pilas;noble estate;Marqués de Dos Hermanas;holm oak;10.0
1749;Dehesa de Chillas;Cortijo de Chillas;37.26177391;-6.279890135;Sevilla;Villamanrique de la Condesa;noble estate;Marqués de Astorga;holm oak;19.0
1749;Dehesa de Gato;Gato;37.24566317;-6.343690193;Sevilla;Villamanrique de la Condesa;noble estate;Marqués de Astorga;holm oak;32.0
1749;El Caosso;El Cadoso;37.4641822;-5.777096847;Sevilla;Carmona;private, noble estate;Pedro Morales, Marqués de Caozo;pine;6.0
1749;El Corso;El Corzo;37.4866467494;-5.803431895;Sevilla;Carmona;noble estate;Duquesa de Veraguas;pine;14.0
1749;Zelada;La Celada;37.46463175;-5.796715643;Sevilla;Carmona;private;Ana Barrientos;pine;2.0
1749;Mojin;La Mohína;37.43215415;-5.807149524;Sevilla;Carmona;private;María Lamilla;pine;1.0
1749;Pinal de la Plata;La Plata;37.5266144815;-5.7609621971;Sevilla;Carmona;noble estate;Marqués de Saltillo;pine;7.0
1749;Las Corchas;Las Corchas;37.4218264322;-5.7814142394;Sevilla;Carmona;private;Fernando Barrientos;pine;5.0
1749;Los Graneros;Los Graneros;37.4331025143;-5.7765013568;Sevilla;Carmona;private;Juan de Lamilla;pine;1.0
1749;Olivares;Los Olivos;37.41264272;-5.526074842;Sevilla;Carmona;private;Antonio Quintanilla;pine;2.0
1749;Ventanas;Los Ventanales;37.45082359;-5.725885122;Sevilla;Carmona;private;Manuel Morillo;pine;2.0
1749;Miraflores;Miraflores;37.45199325;-5.8184093499;Sevilla;Carmona;private;Fernando Barba, Martín Barba;pine;7.0
1749;Menina;Medina;37.45966867;-5.785615542;Sevilla;Carmona;noble estate;Marqués de Saltillo;pine;5.0
1749;Palma Gallarda;Palma Gallarda;37.4431059806;-5.7419546468;Sevilla;Carmona;noble estate;Marqués de Saltillo;pine;9.0
1749;Pozo del Zierbo;Pozo Dulce;37.31678763;-5.658763921;Sevilla;Carmona;noble estate;Marqués de Saltillo;pine;4.0
1749;Suerte del Saltillo;Suerte del Marqués;37.3229186595;-5.645843549;Sevilla;Carmona;noble estate;Marqués de Saltillo;pine;17.0
1749;Villa Gordo;Villa Gordo;37.4291366388;-5.7322610013;Sevilla;Carmona;private, ecclesiastic;Widow of Miguel Lamilla, Compañía de Jesus;pine;98.0
1749;Suerte de Quintanilla;Quintanilla;37.3662699423;-5.8471434501;Sevilla;Alcalá de Guadaíra;noble estate;Marqués de Saltillo;pine;22.0
1749;Linde de Remuñana;Dehesa de Remuñana;37.29350437;-6.545288959;Huelva;Bollullos Par del Condado;private;undefined;holm oak;3.0
1749;Genis;Hacienda de Genis  ;37.35951484;-6.36074504;Huelva;Chucena;noble estate;Marqués de Las Torres;holm oak;14.0
1749;Genis;Hacienda de Genis  ;37.35951484;-6.36074504;Huelva;Chucena;noble estate;Marqués de Las Torres;pine;56.0
1749;Dehesa de Torralba;Hacienda de Torralba;37.37315932;-6.383912618;Huelva;Chucena;noble estate;Marqués de Torralba;holm oak;64.0
1749;Torre de Quadros;Dehesa de Torrecuadros;37.31127133;-6.364159217;Huelva;Hinojos;noble estate, ecclesiastic;Marquesa de La Motilla, Convento de San Pablo de Sevilla;holm oak;27.0
1749;Garruchena;Dehesa de Garruchena;37.34288999;-6.467856282;Huelva;Hinojos;noble estate;Marqués de Astorga;holm oak;12.0
1749;Dehesa de Lerena;Dehesa de Lerena;37.34130743;-6.341364825;Sevilla;Huévar;noble estate;Marqués de La Fuente;holm oak;64.0
1749;Umbrete;Umbrete;;;Sevilla;Umbrete;comunal;Umbrete;holm oak;65.0
1749;Seresuela de Humbrete;undefined;;;Sevilla;Umbrete;ecclesiastic;Cardenal Infante Luis Antonio Jaime de Borbón y Farnesio;holm oak;22.0
1749;Balzequilla;undefined;;;Sevilla;Aznalcóllar;comunal;Aznalcóllar;holm oak;88.0
1749;Chaparral;Chaparral;37.51905466;-6.235115898;Sevilla;Aznalcóllar;comunal;Aznalcóllar;holm oak;87.0
1749-1750;Dehesa de Alosno;Dehesa Boyal;37.55584677;-7.174164717;Huelva;Alosno;comunal;Alosno;holm oak;108.0
1749-1750;La Tiessa;La Tiesa;37.59808806;-7.043423408;Huelva;Alosno;private;Bartolomé Velez Jurado;holm oak;104.0
1749-1750;Dehesa de el Zerro;Dehesa de Abajo;37.71987505;-6.952026996;Huelva;El Cerro de Andévalo;comunal;El Cerro de Andévalo;holm oak;300.0
1749-1750;Dehesa de San Bartolomé;Dehesa Boyal;37.42990547;-7.10969907;Huelva;San Bartolomé de la Torre;comunal;San Bartolomé de la Torre;holm oak;103.0
1749-1750;Dehesa de Valberde del Camino;Dehesa de los Machos;37.5705822407;-6.733573452;Huelva;Valverde del Camino;comunal;Valverde del Camino;holm oak;599.0
1749-1750;Dehesa de las Cruces;undefined;;;Huelva;Villanueva de las Cruces;comunal;Villanueva de las Cruces;holm oak;300.0
1749-1750;Dehesa de Montanina;La Montañina;37.34899709;-6.570694843;Huelva;Bollullos Par del Condado;noble estate;Duque de Medina Sidonia;holm oak;23.0
1749-1750;Boyal de Vonares;Dehesas;37.2992151384;-6.675653694;Huelva;Bonares;comunal;Bonares;holm oak;147.0
